Check #,Decision
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","MAIL Physical Check"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","MAIL Physical Check"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","MAIL Physical Check"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","MAIL Physical Check"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
"undefined","PAID via ACH"
